store,name,price,old_price,promotion
Pick n Pay,Parmalat Full Fat Cheddar Cheese 600g,94.99,124.99,
Pick n Pay,Bisconni Cocomo Mini Chocolate Filled Biscuits 23g,3.99,4.99,
Pick n Pay,Nescafe Classic Crema Instant Coffee 200g,144.99,,R109.99 (Smart Price)
Pick n Pay,PnP Fresh Cream 500ml,39.99,41.99,
Pick n Pay,Thirsti Still Bottled Water 5L,28.99,,
Pick n Pay,Simba Potato Chips Cheese & Onion 120g,20.99,,3 For R46.00 (Smart Price)
Pick n Pay,Simba Fritos Tomato Flavour 120g,18.99,,
Pick n Pay,Tetley Black & Green Combo Tea 122 Pack,46.99,,
Pick n Pay,Comfort Jasmine & Cashmere Value Pack Concentrated Fabric Conditioner Refill 800ml,52.99,,2 For R80.00 (Smart Price)
Pick n Pay,Panado Tablets 24 Tablets,29.99,36.99,
Pick n Pay,Bull Brand Corned Meat & Cereal Tin 300g,26.99,36.99,
Pick n Pay,Husky Wet Chunks in Gravy Beef Steak Flavour 775g,39.99,,3 For R85.00 (Smart Price)
Pick n Pay,PnP Sweet Potatoes 1kg,29.99,,
Pick n Pay,PnP Roasting Vegetables 400g,39.99,,
Pick n Pay,Garbie Super Saver Refuse Bags Black 750mm x 950mm 20 Pack,44.99,,
Pick n Pay,Robertsons Barbecue Spice Refill 64g,21.99,,2 For R25.00 (Smart Price)
Pick n Pay,Danone Nutriday Full Cream Strawberry Yoghurt 900g,43.99,,
Pick n Pay,Lancewood Cheddar Cheese 600g,124.99,,
Pick n Pay,PnP Margherita Pizza 390g,74.99,,Combo For R100.00
Pick n Pay,Fanta Orange Plastic Bottle 2L,19.99,,
Pick n Pay,Simply Chicken Original Frozen Burger 400g,61.99,,
Pick n Pay,Nola Mayonnaise Sweet & Creamy 780g,44.99,,
Pick n Pay,Pringles Salt & Vinegar Potato Chips 165g,58.99,,2 For R99.00 (Smart Price)
Pick n Pay,Robertsons Mixed Herbs Dry Herbs Refill 18g,21.99,,2 For R25.00 (Smart Price)
Pick n Pay,Simba NikNaks Sweet Chilli Flavoured Maize Snack 135g,15.99,,
Pick n Pay,Handy Andy Lavender Multipurpose Cleaning Cream Refill 750ml,26.99,,
Pick n Pay,PnP Bananas Packet,26.99,,
Pick n Pay,Twist Lemon Plastic Bottle 2L,17.99,,2 For R28.00
Pick n Pay,Husky Wet Chunks in Gravy Chicken Flavour 775g,39.99,,3 For R85.00 (Smart Price)
Pick n Pay,PnP Oranges Bag 2.5kg,29.99,39.99,
Pick n Pay,Pasta Grande Spaghetti 500g,16.99,17.99,
Pick n Pay,Nescafe Gold Hazelnut Latte Sachets 18g,79.99,,2 For R110.00 (Smart Price)
Pick n Pay,Ethekwini Howda Gouda Processed Cheese,99.99,,
Pick n Pay,Spekko Rice Parboiled 2kg,44.99,,2 For R68.00
Pick n Pay,Nestle Smarties Mini Bag 135g,62.99,,
Pick n Pay,Parmalat Full Fat Gouda Cheese 600g,94.99,124.99,
Pick n Pay,Dr Oetker Ital Pizza Classic Spare Rib & Bacon Pizza 350g,64.99,,
Pick n Pay,No Name Frozen Chicken Liver 500g,26.99,,
Pick n Pay,Nola Tangy Mayonnaise 750g,41.99,44.99,
Pick n Pay,Black Cat Smooth Peanut Butter 400g,54.99,,2 For R70.00
Pick n Pay,No Name Live Well Soup Mix 500g,15.49,,
Pick n Pay,PnP Onions 2kg,46.99,,
Pick n Pay,Lux Velvet Touch Cleansing Bar Soap 175g,19.99,,2 For R25.00 (Smart Price)
Pick n Pay,Clover Classic Vanilla Custard 1L,28.8,,R23.99 (Smart Price)
Pick n Pay,PnP Panini 4 Pack,12.0,15.99,
Pick n Pay,PnP Golden Delicious Apples 1.5kg,34.99,,
Pick n Pay,Cadbury Fruit & Nut Chocolate Slab 80g,23.99,,
Pick n Pay,Steri Stumpie Strawberry Milk 350ml,14.99,17.99,
Pick n Pay,Eskort Cheese Griller 500g,89.99,,
Pick n Pay,Doritos Flame Grilled BBQ Corn Chips 145g,23.99,,Combo For R279.99 (Smart Price)
Pick n Pay,Simba Potato Chips Smoked Beef 120g,20.99,,3 For R46.00 (Smart Price)
Pick n Pay,Natures Garden Steakhouse Chips 900g,52.99,,2 For R80.00 (Smart Price)
Pick n Pay,Golden Cloud Cake Wheat Flour 2.5kg,43.99,,
Pick n Pay,Doritos Flamin Hot Nacho Cheese 145g,23.99,,Combo For R279.99 (Smart Price)
Pick n Pay,Kellogg's Corn Flakes 1kg,84.99,,
Pick n Pay,No Name Live Well Sugar Red Speckled Beans 500g,29.99,,
Pick n Pay,Pamper Fine Cuts Multipack Jelly 12 x 85g,132.99,,2 For R200.00 (Smart Price)
Pick n Pay,Sparletta Creme Soda 2L,17.99,,2 For R28.00
Pick n Pay,Comfort Morning Fresh Concentrated Laundry Fabric Softener Refill 800ml,52.99,,2 For R80.00 (Smart Price)
Pick n Pay,Simba NikNaks Fruit Chutney Maize  Snack 135g,15.99,,
Pick n Pay,Sunlight Summer Sensations 5in1 Automatic Washing Powder 2kg,79.99,,
Pick n Pay,Tinkies Vanilla Whizz Sponge Cake 6 x 45g,49.99,,R39.99 (Smart Price)
Pick n Pay,Mama's Pepper Steak Pies 6 Pies,139.99,,2 For R199.00 (Smart Price)
Pick n Pay,aQuelle Still Natural Spring Water 1.5L,14.99,,
Pick n Pay,Knorr Cream of Tomato Thickening Soup 54g,7.99,,4 For R22.00 (Smart Price)
Pick n Pay,PnP Beef Potjiekos,137.99,,
Pick n Pay,PnP White Hamburger Buns 6 Pack,25.99,,Combo For R74.99
Pick n Pay,Parmalat Sliced Processed Gouda Cheese 200g,24.99,44.99,
Pick n Pay,Lancewood Double Cream Plain Yoghurt 1kg,44.99,54.99,
Pick n Pay,Willards Big Corn Bites Tomato 120g,19.99,,
Pick n Pay,Today Original Sausage Rolls 30 Pack,124.99,,R109.99 (Smart Price)
Pick n Pay,Kellogg's All Bran Flakes 1kg,94.99,,R78.99 (Smart Price)
Pick n Pay,Beacon Pink & White Marshmallows 135g,19.99,,
Pick n Pay,McCain French Stir Fry Vegetable Mix 700g,45.99,,
Pick n Pay,Wellington's Sweet Chilli Sauce 700ml,39.99,56.99,
Pick n Pay,Bokomo Traditional Oats 1kg,42.99,,
Pick n Pay,PnP Back Bacon 200g,48.99,,
Pick n Pay,Futurelife Smart Food Original 500g,56.99,,
Pick n Pay,PnP Washed Potatoes 7kg,69.99,,
Pick n Pay,Simba Potato Chips Mexican Chilli 120g,20.99,,3 For R46.00 (Smart Price)
Pick n Pay,Sunfoil Sunflower Oil 2L,84.99,,
Pick n Pay,Ellis Brown Coffee Creamer 750g,69.99,,
Pick n Pay,Truda Honey & Mustard Flavoured Pretzels 200g,32.99,,2 For R50.00 (Smart Price)
Pick n Pay,Butro Butter Spread 500g,99.99,,2 For R149.00
Pick n Pay,Brookes Oros Pineapple 2L,45.99,,2 For R75.00
Pick n Pay,Always Maxi Night 8 Pack,29.99,,2 For R42.00
Pick n Pay,Crosse & Blackwell Tangy Mayonnaise 750g,37.99,47.99,
Pick n Pay,No Name Buttermilk Rusk 500g,49.99,,
Pick n Pay,Lucky Star Pilchards in Tomato Sauce 155g,15.99,,2 For R28.00 (Smart Price)
Pick n Pay,PnP Hotdog Rolls 6 Pack,16.99,,
