store,name,price,old_price,promotion
Pick n Pay,Comfort Uplifting Concentrated Laundry Fabric Softener Refill 800ml,52.99,,3 For R110.00 (Smart Price)
Pick n Pay,Flora Regular 50% Fat Spread 1kg,72.99,,
Pick n Pay,Truda Cheese & Onion Triiangle Pretzels 30g,5.99,,
Pick n Pay,Koo Creamstyle Sweetcorn 415g,23.99,,
Pick n Pay,PnP Onions 1kg,22.99,,
Pick n Pay,No Name Shredded Tuna in Water 170g,24.99,,
Pick n Pay,Savanna Dry NRB 6 x 330ml,124.99,,2 For R200.00 (Smart Price)
Pick n Pay,PnP Margherita Pizza 390g,74.99,,Combo For R100.00
Pick n Pay,Sunlight Paradise Sensations 5in1 Automatic Washing Powder 2kg,79.99,,
Pick n Pay,Nando's Perinaise Squeeze Original 265g,49.99,,R38.99 (Smart Price)
Pick n Pay,Cadbury Original Chocolate Lunch Bar 44g,14.99,,3 For R36.00
Pick n Pay,Eskort Smoked Viennas 1kg,59.99,79.99,
Pick n Pay,Grand-pa Headache Powders,5.49,,
Pick n Pay,No Name Frozen Chicken Liver 500g,26.99,,
Pick n Pay,Simba Potato Chips Smoked Beef 120g,20.99,,3 For R49.00 (Smart Price)
Pick n Pay,PnP Sweetcorn 4 Pack,32.99,,
Pick n Pay,Simba KFC Original Recipe Chicken Potato Chips 120g,20.99,,3 For R49.00 (Smart Price)
Pick n Pay,Scotch-brite Scourer No35 4 Pack,39.99,,
Pick n Pay,PnP Large Eggs 18 Pack,52.99,,
Pick n Pay,Sparletta Pine Nut 2L,17.99,,
Pick n Pay,Eskort Gold Medal Pork Sausages 375g,77.99,,
Pick n Pay,Crown National Bbq Six Gun Grill 200g,27.99,,
Pick n Pay,Mooi River Salted Butter 500g,99.99,,R74.99 (Smart Price)
Pick n Pay,Danone Nutriday Low Fat Smooth Strawberry Dairy Snack 6 x 100g,24.99,,2 For R38.00 (Smart Price)
Pick n Pay,Flora Light 40% Fat Spread 1kg,72.99,,
Pick n Pay,Robertsons Barbecue Spice Refill 64g,20.99,,2 For R25.00 (Smart Price)
Pick n Pay,Doritos Sour Cream & Mild Chilli 145g,23.99,,
Pick n Pay,Magnum Mini White Almond Ice Cream 5 Pack,122.99,,2 For R150.00 (Smart Price)
Pick n Pay,Knorr Tasty Beef 2in1 Stew Mix with Robertsons Barbecue Spice 50g,8.99,,
Pick n Pay,PnP Soft Citrus 1kg,32.99,,
Pick n Pay,Cadbury Dairy Milk Biscuit Chocolate Slab 80g,24.99,,
Pick n Pay,Mccain Mixed Vegetables 1kg,42.99,,R39.99 (Smart Price)
Pick n Pay,Fair Cape Eco Uht Full Cream Milk 6 x 1L,94.99,99.99,
Pick n Pay,Nescafe Ricoffy Refill 800g,169.99,,R129.99 (Smart Price)
Pick n Pay,Stoney Extra Ginger Beer 2L,19.99,,2 For R35.00
Pick n Pay,Knorr Aromat Original All Purpose Seasoning Spice Trio Refill 200g,39.99,,
Pick n Pay,Parmalat Sliced Processed Gouda Cheese 400g,79.99,,
Pick n Pay,PnP Roller Towel White 2 Pack,27.99,,
Pick n Pay,Lux Soft Caress Soap 150g,19.99,,2 For R28.00 (Smart Price)
Pick n Pay,Kellogg's Coco Pops Original 350g,59.99,,R44.99 (Smart Price)
Pick n Pay,Steri Stumpie Chocolate Flavoured Low Fat Milk 350ml,14.99,17.99,
Pick n Pay,Dove Original White Beauty Soap 4 x 90g,89.99,,R59.99 (Smart Price)
Pick n Pay,Brutal Fruit Strawberry Rouge 6 x 275ml,94.99,,
Pick n Pay,Nestle Bar One Large 52g,15.99,,
Pick n Pay,No Name Straight Cut Frying Potato Chips 1kg,46.99,,
Pick n Pay,PnP Crisp Lettuce Head,16.99,,
Pick n Pay,Nestle Tex Mini Bag 182g,62.99,,2 For R89.00 (Smart Price)
Pick n Pay,Plush Dishwashing Liquid 750ml,27.99,,2 For R45.00 (Smart Price)
Pick n Pay,PnP Pork Pack,82.99,,
Pick n Pay,No Name Marie Biscuits 150g,12.99,,
Pick n Pay,Lucky Star Pilchards in Sweet Chilli 400g,29.99,,
Pick n Pay,Plush Pine Gel 1l,46.99,,R29.99 (Smart Price)
Pick n Pay,Bisconni Cocomo Mini Chocolate Filled Biscuits 23g,3.99,,
Pick n Pay,Excella Sunflower Oil 2l,84.99,,
Pick n Pay,PnP Pie Steak & Kidney,27.99,31.49,
Pick n Pay,Maynards Fruity Chews 100g,27.99,,2 For R42.00 (Smart Price)
Pick n Pay,Wellington's Sweet Chilli Sauce 700ml,52.99,,
Pick n Pay,PnP Slicing Tomatoes 2 Pack,12.99,,
Pick n Pay,Rhodes Quality 100% Apple & Cranberry Juice 1L,34.99,,
Pick n Pay,Sunlight Original Laundry Bar Soap 500g,25.99,,
Pick n Pay,Doritos Supreme Cheese 145g,23.99,,
Pick n Pay,Clover Krush Fruit Juice Blend 100% Orange 1.5L,39.99,49.99,
Pick n Pay,Willards Cheese Curls 150g,22.99,,2 For R38.00 (Smart Price)
Pick n Pay,PnP Golden Delicious Apples 1.5kg,34.99,,
Pick n Pay,Ellis Brown Coffee Creamer 750g,74.99,,R57.99 (Smart Price)
