store,name,price,old_price,promotion
Makro,"Knorr Thick Vegetable Soup (Pack of 10, 50 g)",56.95,,
Makro,Rhodes Trotters Greengage Flavoured Jelly Powder Crystals (40 g),9.95,,
Makro,"Knorr Chilli Beef & Vegetable Soup (Pack of 10, 50 g)",56.95,,
Makro,Kellogg's All Bran Flakes Box (1 kg),87.95,,
Makro,Rhodes 100% Grape Juice (6 x 200 ml),45.95,,
Makro,"Knorr Mutton & Veg Soup (Pack of 10, 50 g)",56.95,,
Makro,Snowflake Cake Wheat Flour (10 kg),134.95,,
Makro,Knorr Hearty Beef Cup A Soup (80 g),20.47,,
Makro,Nestle Klim Full Cream Instant  Milk Substitutes Powder (500 g),98.05,,
Makro,Royco Cream of Mushroom Soup (50 g),6.55,,
Makro,Simba Niknaks Maize Snack (5 x 22 g),14.25,,
Makro,Jungle Energy Bar Peanut Butter Sachet (40 g),14.7,,
Makro,Rhodes Trotters Granadilla Flavoured Jelly Powder Crystals (40 g),9.95,,
Makro,Knorr Chicken & Vegetable Cup A Soup (93 g),23.05,,
Makro,Safari Spirit Vinegar (1 L),17.95,,
Makro,Jungle Energy Bar Yoghurt Sachet (40 g),14.7,,
Makro,Knorr Oxtail & Vegetable Soup (50 g),7.44,,
Makro,Jungle Energy Bar Yoghurt Sachet (30 x 40 g),342.75,,
Makro,M Tropical Fruit Muesli Pouch (1 kg),69.95,,
Makro,Tinkies Sponge Strawberry & Vanilla Cake (270 g),49.95,,
Makro,Rhodes Trotters Strawberry Flavoured Jelly Powder Crystals (40 g),9.95,,
Makro,Kellogg's Coco Pops Box (1 kg),114.95,,
Makro,Jungle Energy Bar Dark Chocolate Sachet (30 x 40 g),342.75,,
Makro,Knorr Thick Vegetable Soup (50 g),7.44,,
Makro,Knorrox Mutton Flavour Soup (400 g),23.06,,
Makro,"Nescafe Ricoffy Instant Coffee (Chicory Flavoured, 800 g)",174.95,,
Makro,Jungle Energy Bar Nuts Sachet (40 g),14.7,,
Makro,Canderel Low kilojoule sweetner sticks Sweetener (800 g),264.45,,
Makro,Royco Rich Oxtail Soup (50 g),6.55,,
Makro,Bokomo Whole Grain Rolled Traditional Oats Box (1 kg),41.25,,
Makro,Knorrox Minestrone Soup (400 g),23.06,,
Makro,Robertsons BP Quality Cream of Tartar Powder (100 g),21.95,,
Makro,Aro Tomato Paste Pastes & Purees (3 kg),140.95,,
Makro,Knorr Country Vegetable Cup A Soup (80 g),20.47,,
